mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
5,24,16,100846.0,197800.0,197700.0,299.0,1052.0,3675.0,80513.0,1453.0,8966.0,14685.0,-225.0,1987.0,-11559.0,54.0,-4000.0,-6300.0,-4910.0,1564.0,976.0,36.0,172.0,84.0,8.0,898.0,2675.0,94.0,9714.0,3156.0,1815.0,967.0,538.0,482.0
5,24,17,97824.0,193050.0,191850.0,300.0,982.0,3636.0,80319.0,1775.0,7511.0,15992.0,-287.0,1990.0,-14394.0,53.0,-4000.0,-6300.0,-4802.0,2300.0,-2687.0,36.0,172.0,84.0,8.0,904.0,2629.0,94.0,10434.0,3917.0,1641.0,977.0,529.0,484.0
5,24,18,97285.0,194800.0,193350.0,299.0,991.0,3639.0,80577.0,2177.0,5509.0,18164.0,-183.0,1997.0,-15886.0,53.0,-4000.0,-6300.0,-4924.0,2198.0,-3104.0,36.0,171.0,85.0,8.0,901.0,2636.0,94.0,11008.0,4734.0,2421.0,996.0,518.0,482.0
5,24,19,97721.0,195650.0,195050.0,298.0,881.0,3711.0,80867.0,2575.0,3001.0,20459.0,-109.0,2045.0,-16009.0,51.0,-4000.0,-6300.0,-4924.0,1990.0,-2124.0,36.0,170.0,84.0,8.0,951.0,2657.0,94.0,11740.0,5176.0,3543.0,1024.0,532.0,490.0
5,24,20,94298.0,186050.0,186050.0,300.0,688.0,3711.0,80962.0,2738.0,877.0,21504.0,-222.0,2054.0,-18315.0,49.0,-4000.0,-6300.0,-4924.0,1968.0,-6105.0,36.0,170.0,87.0,8.0,969.0,2641.0,94.0,11978.0,5258.0,4268.0,1031.0,539.0,484.0
5,24,21,90244.0,181100.0,181100.0,300.0,707.0,3677.0,80802.0,3134.0,87.0,18625.0,-189.0,2077.0,-18975.0,50.0,-4000.0,-6300.0,-4924.0,1692.0,-5305.0,36.0,170.0,86.0,8.0,967.0,2607.0,94.0,11637.0,5261.0,1728.0,1043.0,550.0,483.0
5,24,22,92566.0,187100.0,186900.0,301.0,665.0,3472.0,80089.0,4305.0,-2.0,18865.0,-136.0,2080.0,-17075.0,49.0,-4000.0,-5900.0,-4922.0,2108.0,-1717.0,36.0,170.0,87.0,8.0,905.0,2464.0,94.0,11718.0,5215.0,1932.0,1044.0,557.0,479.0
5,24,23,98480.0,198050.0,196850.0,301.0,650.0,3442.0,80018.0,5298.0,-2.0,20353.0,-136.0,2071.0,-13516.0,47.0,-4000.0,-3800.0,-4446.0,2234.0,-1554.0,36.0,170.0,86.0,8.0,881.0,2457.0,94.0,11738.0,5098.0,3516.0,1046.0,553.0,470.0
5,25,0,93833.0,180450.0,182050.0,299.0,174.0,2551.0,79621.0,5860.0,-2.0,16924.0,-124.0,2079.0,-13549.0,34.0,-3406.0,-3800.0,-4446.0,496.0,-2944.0,35.0,170.0,85.0,8.0,825.0,1620.0,96.0,11293.0,4117.0,1513.0,1056.0,551.0,470.0
5,25,1,84181.0,166400.0,168200.0,297.0,-36.0,1354.0,77055.0,6099.0,-2.0,15207.0,-2600.0,2087.0,-15279.0,25.0,-3406.0,-3800.0,-4446.0,994.0,-3886.0,36.0,170.0,84.0,8.0,780.0,464.0,102.0,10581.0,3312.0,1314.0,1069.0,543.0,474.0
5,25,2,80206.0,158700.0,158900.0,294.0,-63.0,1362.0,75519.0,6110.0,-2.0,14421.0,-3159.0,2106.0,-16381.0,26.0,-3406.0,-3800.0,-4446.0,-480.0,-3870.0,32.0,169.0,84.0,8.0,784.0,468.0,102.0,10281.0,3028.0,1112.0,1080.0,552.0,474.0
5,25,3,75077.0,146100.0,146400.0,289.0,-61.0,1362.0,75239.0,6263.0,-2.0,13329.0,-3716.0,2108.0,-19734.0,26.0,-3406.0,-3800.0,-4906.0,-784.0,-7748.0,33.0,163.0,85.0,9.0,784.0,467.0,102.0,10096.0,2934.0,300.0,1081.0,554.0,472.0
5,25,4,71348.0,138450.0,140400.0,292.0,-61.0,1364.0,75424.0,6122.0,-2.0,12723.0,-5297.0,2112.0,-21332.0,28.0,-3406.0,-3800.0,-4904.0,-1692.0,-8208.0,34.0,164.0,87.0,9.0,783.0,471.0,102.0,9520.0,2905.0,298.0,1090.0,553.0,469.0
5,25,5,69564.0,136550.0,137050.0,299.0,-61.0,1365.0,74662.0,5887.0,-2.0,12573.0,-5782.0,2107.0,-21486.0,28.0,-3406.0,-3800.0,-4906.0,-2048.0,-7538.0,35.0,170.0,88.0,8.0,783.0,472.0,102.0,9442.0,2834.0,297.0,1082.0,555.0,470.0
5,25,6,68596.0,136500.0,136200.0,298.0,-57.0,1364.0,73912.0,6009.0,14.0,12409.0,-5772.0,2077.0,-21658.0,28.0,-3406.0,-3800.0,-4906.0,-2200.0,-6760.0,34.0,169.0,86.0,9.0,783.0,471.0,102.0,9409.0,2851.0,148.0,1061.0,551.0,465.0
5,25,7,70939.0,144000.0,142900.0,297.0,-55.0,1367.0,74140.0,5480.0,490.0,12457.0,-5188.0,2060.0,-20109.0,28.0,-3406.0,-3800.0,-5400.0,-1390.0,-5010.0,34.0,169.0,85.0,8.0,783.0,473.0,102.0,9362.0,2797.0,298.0,1048.0,548.0,464.0
5,25,8,75762.0,153450.0,152850.0,299.0,-15.0,1367.0,75182.0,3848.0,2251.0,12608.0,-4448.0,2052.0,-17382.0,27.0,-4000.0,-3800.0,-5400.0,440.0,-4446.0,38.0,168.0,86.0,8.0,780.0,476.0,102.0,9345.0,2964.0,299.0,1040.0,548.0,465.0
5,25,9,81203.0,163000.0,163000.0,305.0,-3.0,1370.0,76266.0,3008.0,4926.0,12779.0,-3305.0,2040.0,-16183.0,26.0,-4000.0,-3800.0,-5400.0,1876.0,-4572.0,38.0,172.0,87.0,9.0,782.0,477.0,102.0,9504.0,2906.0,370.0,1018.0,553.0,470.0
5,25,10,85039.0,169050.0,169850.0,303.0,2.0,1364.0,76136.0,3173.0,7291.0,13339.0,-2860.0,2027.0,-15734.0,24.0,-4000.0,-3800.0,-5400.0,1446.0,-3260.0,36.0,172.0,85.0,8.0,783.0,471.0,102.0,9497.0,3019.0,824.0,1004.0,547.0,476.0
5,25,11,87075.0,173450.0,173250.0,302.0,2.0,1372.0,75617.0,3717.0,9027.0,13420.0,-3376.0,2012.0,-15016.0,24.0,-4000.0,-3800.0,-5400.0,1778.0,-2444.0,36.0,172.0,85.0,8.0,784.0,477.0,102.0,9765.0,3156.0,500.0,989.0,546.0,475.0
5,25,12,90181.0,181450.0,180050.0,300.0,2.0,1372.0,75046.0,4364.0,10127.0,13723.0,-3274.0,2017.0,-13497.0,24.0,-4000.0,-3800.0,-5400.0,1834.0,392.0,36.0,173.0,84.0,8.0,782.0,479.0,102.0,9986.0,3121.0,616.0,986.0,553.0,478.0
5,25,13,91057.0,181150.0,179250.0,300.0,4.0,1347.0,73988.0,4825.0,10650.0,13406.0,-2752.0,2006.0,-12718.0,24.0,-4000.0,-3800.0,-5400.0,1134.0,-625.0,36.0,172.0,84.0,8.0,784.0,452.0,102.0,9954.0,3010.0,443.0,979.0,550.0,478.0
5,25,14,87170.0,173400.0,169850.0,301.0,4.0,1350.0,73860.0,5111.0,10675.0,12449.0,-5168.0,1983.0,-13395.0,24.0,-4000.0,-3800.0,-5400.0,1152.0,-1266.0,36.0,173.0,84.0,8.0,778.0,462.0,102.0,9576.0,2725.0,148.0,966.0,541.0,476.0
5,25,15,84374.0,166300.0,164050.0,299.0,5.0,1366.0,73047.0,5238.0,10267.0,12249.0,-5319.0,1958.0,-14736.0,24.0,-4000.0,-3800.0,-5400.0,1332.0,-3608.0,34.0,174.0,84.0,8.0,782.0,474.0,102.0,9479.0,2490.0,279.0,959.0,527.0,472.0
