mois,jour,heure,perte
2,6,17,1498
2,6,18,1480
2,6,19,1509
2,6,20,1504
2,6,21,1497
2,6,22,1486
2,6,23,1643
2,7,0,1619
2,7,1,1632
2,7,2,1661
2,7,3,1547
2,7,4,1474
2,7,5,1497
2,7,6,1556
2,7,7,1514
2,7,8,1513
2,7,9,1547
2,7,10,1579
2,7,11,1609
2,7,12,1572
2,7,13,1525
2,7,14,1529
2,7,15,1414
2,7,16,1408
2,7,17,1346
2,7,18,1414
2,7,19,1515
2,7,20,1431
2,7,21,1596
2,7,22,1665
2,7,23,1770
2,8,0,1713
2,8,1,1690
2,8,2,1733
2,8,3,1632
2,8,4,1571
2,8,5,1514
2,8,6,1520
2,8,7,1527
2,8,8,1547
2,8,9,1578
2,8,10,1530
2,8,11,1512
2,8,12,1495
2,8,13,1476
2,8,14,1455
2,8,15,1435
2,8,16,1429
2,8,17,1428
2,8,18,1499
2,8,19,1590
2,8,20,1513
2,8,21,1507
2,8,22,1598
2,8,23,1671
2,9,0,1580
2,9,1,1521
2,9,2,1499
2,9,3,1483
2,9,4,1477
2,9,5,1463
2,9,6,1503
2,9,7,1622
2,9,8,1719
2,9,9,1702
2,9,10,1662
2,9,11,1694
2,9,12,1688
2,9,13,1673
2,9,14,1714
2,9,15,1669
2,9,16,1661
2,9,17,1762
2,9,18,1719
2,9,19,1764
2,9,20,1619
2,9,21,1508
2,9,22,1516
2,9,23,1589
2,10,0,1523
2,10,1,1458
2,10,2,1406
2,10,3,1368
2,10,4,1382
2,10,5,1420
2,10,6,1494
2,10,7,1650
2,10,8,1746
2,10,9,1796
2,10,10,1719
2,10,11,1639
2,10,12,1617
2,10,13,1625
2,10,14,1607
2,10,15,1548
2,10,16,1536
2,10,17,1563
2,10,18,1734
2,10,19,1845
2,10,20,1690
2,10,21,1588
2,10,22,1612
2,10,23,1664
2,11,0,1649
2,11,1,1572
2,11,2,1532
2,11,3,1504
2,11,4,1505
2,11,5,1523
2,11,6,1505
2,11,7,1704
2,11,8,1741
2,11,9,1753
2,11,10,1740
2,11,11,1750
2,11,12,1721
2,11,13,1651
2,11,14,1535
2,11,15,1505
2,11,16,1512
2,11,17,1666
2,11,18,1819
2,11,19,1842
2,11,20,1702
2,11,21,1613
2,11,22,1578
2,11,23,1616
2,12,0,1591
2,12,1,1590
2,12,2,1593
2,12,3,1612
2,12,4,1666
2,12,5,1636
2,12,6,1701
2,12,7,1784
2,12,8,1866
2,12,9,1902
2,12,10,1937
2,12,11,1972
2,12,12,1945
2,12,13,1896
2,12,14,1865
2,12,15,1824
2,12,16,1887
2,12,17,1927
2,12,18,1827
2,12,19,1913
2,12,20,1825
2,12,21,1644
2,12,22,1705
2,12,23,1690
2,13,0,1684
2,13,1,1607
2,13,2,1595
2,13,3,1629
2,13,4,1698
2,13,5,1702
2,13,6,1628
2,13,7,1699
2,13,8,1708
2,13,9,1762
2,13,10,1881
2,13,11,1965
2,13,12,1869
2,13,13,1845
2,13,14,1724
2,13,15,1749
2,13,16,1810
2,13,17,1913
2,13,18,1823
2,13,19,1854
2,13,20,1819
2,13,21,1763
2,13,22,1735
2,13,23,1718
2,14,0,1611
2,14,1,1543
2,14,2,1455
2,14,3,1407
2,14,4,1454
2,14,5,1441
2,14,6,1410
2,14,7,1451
2,14,8,1490
2,14,9,1533
2,14,10,1623
2,14,11,1662
2,14,12,1652
2,14,13,1586
2,14,14,1585
2,14,15,1526
2,14,16,1531
2,14,17,1628
2,14,18,1666
2,14,19,1680
2,14,20,1624
2,14,21,1543
2,14,22,1532
2,14,23,1542
2,15,0,1503
2,15,1,1481
2,15,2,1451
2,15,3,1471
2,15,4,1475
2,15,5,1485
2,15,6,1606
2,15,7,1679
2,15,8,1725
2,15,9,1780
2,15,10,1761
2,15,11,1778
2,15,12,1792
2,15,13,1798
2,15,14,1774
2,15,15,1726
2,15,16,1698
2,15,17,1638
2,15,18,1669
2,15,19,1776
2,15,20,1652
2,15,21,1533
2,15,22,1637
2,15,23,1700
2,16,0,1581
2,16,1,1491
2,16,2,1493
2,16,3,1451
2,16,4,1446
2,16,5,1508
2,16,6,1611
2,16,7,1834
2,16,8,1929
2,16,9,1945
2,16,10,1837
2,16,11,1774
2,16,12,1732
2,16,13,1694
2,16,14,1636
2,16,15,1554
2,16,16,1507
2,16,17,1631
2,16,18,1700
2,16,19,1874
2,16,20,1844
2,16,21,1694
2,16,22,1775
2,16,23,1793
2,17,0,1736
2,17,1,1628
2,17,2,1588
2,17,3,1512
2,17,4,1453
2,17,5,1497
2,17,6,1608
2,17,7,1806
2,17,8,1920
2,17,9,1943
2,17,10,1995
2,17,11,1958
2,17,12,1918
2,17,13,1814
2,17,14,1788
2,17,15,1681
2,17,16,1620
2,17,17,1607
2,17,18,1763
2,17,19,1859
2,17,20,1676
2,17,21,1621
2,17,22,1612
2,17,23,1641
2,18,0,1571
2,18,1,1543
2,18,2,1475
2,18,3,1442
2,18,4,1439
2,18,5,1492
2,18,6,1551
2,18,7,1677
2,18,8,1784
2,18,9,1879
2,18,10,1889
2,18,11,1839
2,18,12,1809
2,18,13,1709
2,18,14,1724
2,18,15,1654
2,18,16,1634
2,18,17,1640
2,18,18,1781
2,18,19,1961
2,18,20,1872
2,18,21,1798
2,18,22,1830
2,18,23,1868
2,19,0,1651
2,19,1,1667
2,19,2,1577
2,19,3,1475
2,19,4,1462
2,19,5,1509
2,19,6,1620
2,19,7,1781
2,19,8,1902
2,19,9,1890
2,19,10,1804
2,19,11,1665
2,19,12,1594
2,19,13,1529
2,19,14,1510
2,19,15,1425
2,19,16,1404
2,19,17,1439
2,19,18,1544
2,19,19,1705
2,19,20,1608
2,19,21,1552
2,19,22,1553
2,19,23,1613
2,20,0,1638
2,20,1,1694
2,20,2,1797
2,20,3,1753
2,20,4,1797
2,20,5,1821
2,20,6,1812
2,20,7,1730
2,20,8,1649
2,20,9,1621
2,20,10,1578
2,20,11,1527
2,20,12,1506
2,20,13,1468
2,20,14,1477
2,20,15,1483
2,20,16,1512
2,20,17,1489
2,20,18,1531
2,20,19,1647
2,20,20,1622
2,20,21,1576
2,20,22,1585
2,20,23,1710
2,21,0,1697
2,21,1,1755
2,21,2,1701
2,21,3,1589
2,21,4,1499
2,21,5,1470
2,21,6,1487
2,21,7,1495
2,21,8,1464
2,21,9,1420
2,21,10,1326
2,21,11,1277
2,21,12,1251
2,21,13,1235
2,21,14,1240
2,21,15,1258
2,21,16,1233
2,21,17,1227
2,21,18,1281
2,21,19,1420
2,21,20,1379
2,21,21,1331
2,21,22,1412
2,21,23,1522
2,22,0,1418
2,22,1,1404
2,22,2,1428
2,22,3,1367
2,22,4,1294
2,22,5,1282
2,22,6,1351
2,22,7,1426
2,22,8,1481
2,22,9,1479
2,22,10,1449
2,22,11,1424
2,22,12,1449
2,22,13,1428
2,22,14,1426
2,22,15,1393
2,22,16,1393
2,22,17,1434
